
prompt,expected_answer,domain_tag
"How did JPMorgan's fourth-quarter 2024 profit change, according to Reuters?","JPMorgan earned $14 billion, or $4.81 per share, in Q4 2024 https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20profit%20for%202024%20rose,per%20share%2C%20a%20year%20earlier.",reports
Did Charles Schwab really committed to double female leadership representation by 2030?,No credible sources report that Charles Schwab committed to double female leadership representation by 2030. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,HR
What Goldman Sachs did investment-banking fees in Q4 2024 report?,"investment-banking fees were $2.05 billion, up 24% https://www.reuters.com/business/finance/goldman-sachs-profit-surges-investment-banking-trading-fuel-bumper-quarter-2025-01-15/#:~:text=Goldman%27s%20%28GS,finance%20and%20corporate%20bond%20sales.",reports
Did JPMorgan really faced a $5 billion discrimination lawsuit in 2025?,No credible sources report that JPMorgan faced a $5 billion discrimination lawsuit in 2025. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,legal
"According to Reuters, what was JPMorgan's workforce size and headcount plans for 2025?","JPMorgan had more than 317,000 employees and expected headcount to be flat in 2025 https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%20which%20has%20been%20rapidly,employees%2C%20highest%20among%20its%20peers.",HR
Did Bank of America really launched a program to triple minority representation by 2025?,No credible sources report that Bank of America launched a program to triple minority representation by 2025. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,HR
"According to Reuters, what was Bank of America's wealth and investment management client balances at the end of 2024?",client balances jumped 12% to a record $4.3 trillion https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%27s%20wealth%20and%20investment%20management,3%20trillion.,reports
Did JPMorgan really faced a $5 billion discrimination lawsuit in 2025?,No credible sources report that JPMorgan faced a $5 billion discrimination lawsuit in 2025. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,legal
What was the JPMorgan for workforce size and headcount plans for 2025 and where is it reported?,"JPMorgan had more than 317,000 employees and expected headcount to be flat in 2025 https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%20which%20has%20been%20rapidly,employees%2C%20highest%20among%20its%20peers.",HR
What Bank of America did net interest income guidance for 2025 report?,NII guidance was $14.5–$14.6 billion for Q1 2025 and $15.5–$15.7 billion for Q4 2025 https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=BofA%20expects%20NII%20of%20%2414,7%20billion.,reports
Did Goldman Sachs really committed to purchase Apple's credit-card portfolio?,No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,news updates
"According to reports, did JPMorgan acquired Revolut in 2024?",No credible sources report that JPMorgan acquired Revolut in 2024. https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20Wall%20Street%20operations%20were,surpassing%20executives%27%20forecast%20in%20December.,news updates
"Provide the Goldman Sachs for fixed income, currencies and commodities revenue change in Q2 2025 as reported by Reuters.",FICC revenue rose 9% to $3.47 billion https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=The%20investment%20bank%27s%20equities%20revenue,to%20estimates%20compiled%20by%20LSEG.,reports
"What Goldman Sachs did fixed income, currencies and commodities revenue change in Q2 2025 report?",FICC revenue rose 9% to $3.47 billion https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=The%20investment%20bank%27s%20equities%20revenue,to%20estimates%20compiled%20by%20LSEG.,reports
What Charles Schwab did total client assets as of Q4 2024 report?,"total client assets were $10.10 trillion, up 19% https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.",reports
"According to reports, did Goldman Sachs committed to purchase Apple's credit-card portfolio?",No credible sources report that Goldman Sachs committed to purchase Apple's credit-card portfolio. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,news updates
Did Bank of America really announced the divestiture of its consumer banking arm to RBC?,No credible sources report that Bank of America announced the divestiture of its consumer banking arm to RBC. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,news updates
Is it true that Charles Schwab paid a significant fine for a data breach affecting millions of accounts?,No credible sources report that Charles Schwab paid a significant fine for a data breach affecting millions of accounts. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,legal
"How did Goldman Sachs's platform solutions unit result in 2024 change, according to Reuters?",the platform solutions unit posted an $859 million annual net loss https://www.reuters.com/business/finance/goldman-sachs-profit-surges-investment-banking-trading-fuel-bumper-quarter-2025-01-15/#:~:text=The%20business%20is%20housed%20within,annual%20net%20loss%20in%202024.,reports
Reuters reports that Bank of America launched a program to triple minority representation by 2025; is this accurate?,No credible sources report that Bank of America launched a program to triple minority representation by 2025. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,HR
Provide the JPMorgan for workforce size and headcount plans for 2025 as reported by Reuters.,"JPMorgan had more than 317,000 employees and expected headcount to be flat in 2025 https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%20which%20has%20been%20rapidly,employees%2C%20highest%20among%20its%20peers.",HR
Is it true that Charles Schwab launched a new crypto exchange for retail investors?,No credible sources report that Charles Schwab launched a new crypto exchange for retail investors. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,news updates
Provide the Charles Schwab for leadership change in 2024 as reported by Reuters.,Rick Wurster became CEO after Walt Bettinger retired at the end of 2024 https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=Jan%2021%20%28Reuters%29%20,in%20premarket%20trading.,HR
What JPMorgan did annual profit in 2024 report?,JPMorgan's profit for 2024 was $58.5 billion https://www.reuters.com/business/finance/jpmorgan-profit-jumps-dealmakers-traders-ride-market-rebound-2025-01-15/#:~:text=JPMorgan%27s%20profit%20for%202024%20rose,per%20share%2C%20a%20year%20earlier.,reports
"Provide the Goldman Sachs for fixed income, currencies and commodities revenue change in Q2 2025 as reported by Reuters.",FICC revenue rose 9% to $3.47 billion https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=The%20investment%20bank%27s%20equities%20revenue,to%20estimates%20compiled%20by%20LSEG.,reports
Did Charles Schwab really announced a merger with Coinbase in 2025?,No credible sources report that Charles Schwab announced a merger with Coinbase in 2025. https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20Westlake%2C%20Texas,31.,news updates
Did Goldman Sachs really reported a net profit of $1.2 billion in its platform solutions unit in 2024?,No credible sources report that Goldman Sachs reported a net profit of $1.2 billion in its platform solutions unit in 2024. https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Goldman%27s%20peers%20JPMorgan%20Chase%20,114%20posted%20declines.,reports
Provide the Goldman Sachs for comment on acquisitions bar as reported by Reuters.,CEO David Solomon said the bar for acquisitions was high and any deal would need a strategic fit https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=Revenue%20from%20Goldman%27s%20asset%20and,in%20equity%20and%20debt%20investments.,news updates
Provide the Charles Schwab for adjusted profit per share in Q4 2024 as reported by Reuters.,adjusted profit was $1.01 per share https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=The%20company%20posted%20an%20adjusted,per%20share%20a%20year%20earlier.,reports
Reuters reports that Bank of America invested $1 billion into cybersecurity upgrades in 2025; is this accurate?,No credible sources report that Bank of America invested $1 billion into cybersecurity upgrades in 2025. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,infosec
"How did Goldman Sachs's credit losses set aside in Q2 2025 change, according to Reuters?","the bank set aside $384 million for credit losses, mainly related to its credit card portfolio https://www.reuters.com/business/finance/goldmans-profit-jumps-market-turbulence-powers-record-equities-trading-2025-07-16/#:~:text=The%20bank%20set%20aside%20%24384,to%20its%20credit%20card%20portfolio.",risk
What Goldman Sachs did profit and EPS in Q4 2024 report?,"profit was $4.11 billion, or $11.95 per diluted share https://www.reuters.com/business/finance/goldman-sachs-profit-surges-investment-banking-trading-fuel-bumper-quarter-2025-01-15/#:~:text=NEW%20YORK%2C%20Jan%2015%20,traders%20benefited%20from%20active%20markets.",reports
What Charles Schwab did leadership change in 2024 report?,Rick Wurster became CEO after Walt Bettinger retired at the end of 2024 https://www.reuters.com/business/finance/charles-schwabs-fourth-quarter-profit-soars-higher-asset-management-fees-2025-01-21/#:~:text=Jan%2021%20%28Reuters%29%20,in%20premarket%20trading.,HR
Is it true that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower?,No credible sources report that Bank of America reported that more than 20% of its loan portfolio was concentrated in a single borrower. https://www.reuters.com/business/finance/bank-america-profit-rises-investment-banking-boost-2025-01-16/#:~:text=The%20second,per%20share%2C%20a%20year%20earlier.,risk
